country,iso3,year,indicator,value
India,IND,2023,current_account,-0.912777939495827
India,IND,2024,current_account,-0.851289719084462
India,IND,2025,current_account,-0.416854153498652
India,IND,2019,external_debt_gni,19.9766366353145
India,IND,2020,external_debt_gni,21.4094740100862
India,IND,2021,external_debt_gni,19.5524130311129
India,IND,2022,external_debt_gni,18.6518069060743
India,IND,2023,external_debt_gni,18.0442974446192
India,IND,2024,external_debt_gni,18.5795533694083
India,IND,2019,gdp_growth,3.87143694070524
India,IND,2020,gdp_growth,-5.77772470687303
India,IND,2021,gdp_growth,9.68959249191741
India,IND,2022,gdp_growth,7.6093649776932
India,IND,2023,gdp_growth,7.210224629335
India,IND,2024,gdp_growth,7.09927893176518
India,IND,2025,gdp_growth,7.56666179284244
India,IND,2019,inflation,3.72950573539123
India,IND,2020,inflation,6.6234367762853
India,IND,2021,inflation,5.13140747176364
India,IND,2022,inflation,6.69903414079858
India,IND,2023,inflation,5.64914318907925
India,IND,2024,inflation,4.95303550973661
India,IND,2025,inflation,2.39884954182294
India,IND,2019,reserves_months,8.27365940048396
India,IND,2020,reserves_months,12.9323281065786
India,IND,2021,reserves_months,9.84238574452328
India,IND,2022,reserves_months,7.00951210544359
India,IND,2023,reserves_months,7.97237314389747
India,IND,2024,reserves_months,7.52136088188696
India,IND,2025,reserves_months,7.8761457217327
Indonesia,IDN,2019,current_account,-2.7056619813955
Indonesia,IDN,2020,current_account,-0.418606247736126
Indonesia,IDN,2021,current_account,0.295885914526078
Indonesia,IDN,2022,current_account,1.00182875104005
Indonesia,IDN,2023,current_account,-0.148899596516736
Indonesia,IDN,2024,current_account,-0.614730078804115
Indonesia,IDN,2025,current_account,-0.105263812011573
Indonesia,IDN,2019,external_debt_gni,37.0829978168899
Indonesia,IDN,2020,external_debt_gni,40.4899520829926
Indonesia,IDN,2021,external_debt_gni,36.1990816015577
Indonesia,IDN,2022,external_debt_gni,30.8527352858338
Indonesia,IDN,2023,external_debt_gni,29.935375315129
Indonesia,IDN,2024,external_debt_gni,30.9729980083421
Indonesia,IDN,2019,gdp_growth,5.01928768046282
Indonesia,IDN,2020,gdp_growth,-2.06551182934165
Indonesia,IDN,2021,gdp_growth,3.70288562827751
Indonesia,IDN,2022,gdp_growth,5.30719722664799
Indonesia,IDN,2023,gdp_growth,5.04883117855516
Indonesia,IDN,2024,gdp_growth,5.03257477088519
Indonesia,IDN,2025,gdp_growth,5.10808904438025
Indonesia,IDN,2019,inflation,3.03058460941661
Indonesia,IDN,2020,inflation,1.91983527270793
Indonesia,IDN,2021,inflation,1.56007882983334
Indonesia,IDN,2022,inflation,4.20946463714784
Indonesia,IDN,2023,inflation,3.66938654859761
Indonesia,IDN,2024,inflation,2.18151273615189
Indonesia,IDN,2025,inflation,1.9133344329508
Indonesia,IDN,2019,reserves_months,6.31777434419502
Indonesia,IDN,2020,reserves_months,8.40697484639797
Indonesia,IDN,2021,reserves_months,6.78517585393017
Indonesia,IDN,2022,reserves_months,5.21322077470096
Indonesia,IDN,2023,reserves_months,5.72806559441344
Indonesia,IDN,2024,reserves_months,5.72012468838059
Indonesia,IDN,2025,reserves_months,5.51085431823322
Iraq,IRQ,2019,current_account,6.74664580876131
Iraq,IRQ,2020,current_account,-3.48598226553262
Iraq,IRQ,2021,current_account,11.7148037882244
Iraq,IRQ,2022,current_account,20.1861883343541
Iraq,IRQ,2023,current_account,10.5528397110428
Iraq,IRQ,2024,current_account,2.99186896502489
Iraq,IRQ,2019,external_debt_gni,11.8236722126954
Iraq,IRQ,2020,external_debt_gni,14.7009987283311
